ID операции,Дата,ID магазина,Артикул,"Количество упаковок, шт",Тип операции
1,9/1/2023,M1,1,200,Поступление
2,9/1/2023,M1,2,200,Поступление
3,9/1/2023,M1,3,200,Поступление
4,9/1/2023,M1,4,200,Поступление
5,9/1/2023,M1,5,200,Поступление
6,9/1/2023,M1,6,200,Поступление
7,9/1/2023,M1,7,200,Поступление
8,9/1/2023,M1,8,200,Поступление
9,9/1/2023,M1,9,200,Поступление
10,9/1/2023,M1,10,200,Поступление
11,9/1/2023,M1,11,200,Поступление
12,9/1/2023,M1,12,200,Поступление
13,9/1/2023,M1,13,200,Поступление
14,9/1/2023,M1,14,200,Поступление
15,9/1/2023,M1,15,200,Поступление
16,9/1/2023,M1,16,200,Поступление
17,9/1/2023,M1,17,200,Поступление
18,9/1/2023,M1,18,200,Поступление
19,9/1/2023,M1,19,200,Поступление
20,9/1/2023,M1,20,200,Поступление
21,9/1/2023,M1,21,200,Поступление
22,9/1/2023,M1,22,200,Поступление
23,9/1/2023,M1,23,200,Поступление
24,9/1/2023,M1,24,200,Поступление
25,9/1/2023,M1,25,200,Поступление
26,9/1/2023,M1,26,200,Поступление
27,9/1/2023,M1,27,200,Поступление
28,9/1/2023,M1,28,200,Поступление
29,9/1/2023,M1,29,200,Поступление
30,9/1/2023,M1,30,200,Поступление
31,9/1/2023,M1,31,200,Поступление
32,9/1/2023,M1,32,200,Поступление
33,9/1/2023,M1,33,200,Поступление
34,9/1/2023,M1,34,200,Поступление
35,9/1/2023,M1,35,200,Поступление
36,9/1/2023,M1,36,200,Поступление
37,9/1/2023,M1,37,300,Поступление
38,9/1/2023,M1,38,300,Поступление
39,9/1/2023,M1,39,300,Поступление
40,9/1/2023,M1,40,300,Поступление
41,9/1/2023,M1,41,300,Поступление
42,9/1/2023,M1,42,300,Поступление
43,9/1/2023,M1,43,300,Поступление
44,9/1/2023,M1,44,300,Поступление
45,9/1/2023,M1,45,300,Поступление
46,9/1/2023,M1,46,300,Поступление
47,9/1/2023,M1,47,300,Поступление
48,9/1/2023,M1,48,300,Поступление
49,9/1/2023,M1,49,300,Поступление
50,9/1/2023,M1,50,300,Поступление
51,9/1/2023,M1,51,300,Поступление
52,9/1/2023,M1,52,300,Поступление
53,9/1/2023,M1,53,300,Поступление
54,9/1/2023,M1,54,300,Поступление
55,9/1/2023,M1,55,300,Поступление
56,9/1/2023,M1,56,300,Поступление
57,9/1/2023,M1,57,300,Поступление
58,9/1/2023,M1,58,300,Поступление
59,9/1/2023,M1,59,300,Поступление
60,9/1/2023,M1,60,300,Поступление
61,9/1/2023,M10,1,200,Поступление
62,9/1/2023,M10,2,200,Поступление
63,9/1/2023,M10,3,200,Поступление
64,9/1/2023,M10,4,200,Поступление
65,9/1/2023,M10,5,200,Поступление
66,9/1/2023,M10,6,200,Поступление
67,9/1/2023,M10,7,200,Поступление
68,9/1/2023,M10,8,200,Поступление
69,9/1/2023,M10,9,200,Поступление
70,9/1/2023,M10,10,200,Поступление
71,9/1/2023,M10,11,200,Поступление
72,9/1/2023,M10,12,200,Поступление
73,9/1/2023,M10,13,200,Поступление
74,9/1/2023,M10,14,200,Поступление
75,9/1/2023,M10,15,200,Поступление
76,9/1/2023,M10,16,200,Поступление
77,9/1/2023,M10,17,200,Поступление
78,9/1/2023,M10,18,200,Поступление
79,9/1/2023,M10,19,200,Поступление
80,9/1/2023,M10,20,200,Поступление
81,9/1/2023,M10,21,200,Поступление
82,9/1/2023,M10,22,200,Поступление
83,9/1/2023,M10,23,200,Поступление
84,9/1/2023,M10,24,200,Поступление
85,9/1/2023,M10,25,200,Поступление
86,9/1/2023,M10,26,200,Поступление
87,9/1/2023,M10,27,200,Поступление
88,9/1/2023,M10,28,200,Поступление
89,9/1/2023,M10,29,200,Поступление
90,9/1/2023,M10,30,200,Поступление
91,9/1/2023,M10,31,200,Поступление
92,9/1/2023,M10,32,200,Поступление
93,9/1/2023,M10,33,200,Поступление
94,9/1/2023,M10,34,200,Поступление
95,9/1/2023,M10,35,200,Поступление
96,9/1/2023,M10,36,200,Поступление
97,9/1/2023,M10,37,300,Поступление
98,9/1/2023,M10,38,300,Поступление
99,9/1/2023,M10,39,300,Поступление
100,9/1/2023,M10,40,300,Поступление
101,9/1/2023,M10,41,300,Поступление
102,9/1/2023,M10,42,300,Поступление
103,9/1/2023,M10,43,300,Поступление
104,9/1/2023,M10,44,300,Поступление
105,9/1/2023,M10,45,300,Поступление
106,9/1/2023,M10,46,300,Поступление
107,9/1/2023,M10,47,300,Поступление
108,9/1/2023,M10,48,300,Поступление
109,9/1/2023,M10,49,300,Поступление
110,9/1/2023,M10,50,300,Поступление
111,9/1/2023,M10,51,300,Поступление
112,9/1/2023,M10,52,300,Поступление
113,9/1/2023,M10,53,300,Поступление
114,9/1/2023,M10,54,300,Поступление
115,9/1/2023,M10,55,300,Поступление
116,9/1/2023,M10,56,300,Поступление
117,9/1/2023,M10,57,300,Поступление
118,9/1/2023,M10,58,300,Поступление
119,9/1/2023,M10,59,300,Поступление
120,9/1/2023,M10,60,300,Поступление
121,9/1/2023,M11,1,100,Поступление
122,9/1/2023,M11,2,100,Поступление
123,9/1/2023,M11,3,100,Поступление
124,9/1/2023,M11,4,100,Поступление
125,9/1/2023,M11,5,100,Поступление
126,9/1/2023,M11,6,100,Поступление
127,9/1/2023,M11,7,100,Поступление
128,9/1/2023,M11,8,100,Поступление
129,9/1/2023,M11,9,100,Поступление
130,9/1/2023,M11,10,100,Поступление
131,9/1/2023,M11,11,100,Поступление
132,9/1/2023,M11,12,100,Поступление
133,9/1/2023,M11,13,100,Поступление
134,9/1/2023,M11,14,100,Поступление
135,9/1/2023,M11,15,100,Поступление
136,9/1/2023,M11,16,100,Поступление
137,9/1/2023,M11,17,100,Поступление
138,9/1/2023,M11,18,100,Поступление
139,9/1/2023,M11,19,100,Поступление
140,9/1/2023,M11,20,100,Поступление
141,9/1/2023,M11,21,100,Поступление
142,9/1/2023,M11,22,100,Поступление
143,9/1/2023,M11,23,100,Поступление
144,9/1/2023,M11,24,100,Поступление
145,9/1/2023,M11,25,100,Поступление
146,9/1/2023,M11,26,100,Поступление
147,9/1/2023,M11,27,100,Поступление
148,9/1/2023,M11,28,100,Поступление
149,9/1/2023,M11,29,100,Поступление
150,9/1/2023,M11,30,100,Поступление
151,9/1/2023,M11,31,100,Поступление
152,9/1/2023,M11,32,100,Поступление
153,9/1/2023,M11,33,100,Поступление
154,9/1/2023,M11,34,100,Поступление
155,9/1/2023,M11,35,100,Поступление
156,9/1/2023,M11,36,100,Поступление
157,9/1/2023,M11,37,200,Поступление
158,9/1/2023,M11,38,200,Поступление
159,9/1/2023,M11,39,200,Поступление
160,9/1/2023,M11,40,200,Поступление
161,9/1/2023,M11,41,200,Поступление
162,9/1/2023,M11,42,200,Поступление
163,9/1/2023,M11,43,200,Поступление
164,9/1/2023,M11,44,200,Поступление
165,9/1/2023,M11,45,200,Поступление
166,9/1/2023,M11,46,200,Поступление
167,9/1/2023,M11,47,200,Поступление
168,9/1/2023,M11,48,200,Поступление
169,9/1/2023,M11,49,200,Поступление
170,9/1/2023,M11,50,200,Поступление
171,9/1/2023,M11,51,200,Поступление
172,9/1/2023,M11,52,200,Поступление
173,9/1/2023,M11,53,200,Поступление
174,9/1/2023,M11,54,200,Поступление
175,9/1/2023,M11,55,200,Поступление
176,9/1/2023,M11,56,200,Поступление
177,9/1/2023,M11,57,200,Поступление
178,9/1/2023,M11,58,200,Поступление
179,9/1/2023,M11,59,200,Поступление
180,9/1/2023,M11,60,200,Поступление
181,9/1/2023,M12,1,300,Поступление
182,9/1/2023,M12,2,300,Поступление
183,9/1/2023,M12,3,300,Поступление
184,9/1/2023,M12,4,300,Поступление
185,9/1/2023,M12,5,300,Поступление
186,9/1/2023,M12,6,300,Поступление
187,9/1/2023,M12,7,300,Поступление
188,9/1/2023,M12,8,300,Поступление
189,9/1/2023,M12,9,300,Поступление
190,9/1/2023,M12,10,300,Поступление
191,9/1/2023,M12,11,300,Поступление
192,9/1/2023,M12,12,300,Поступление
193,9/1/2023,M12,13,300,Поступление
194,9/1/2023,M12,14,300,Поступление
195,9/1/2023,M12,15,300,Поступление
196,9/1/2023,M12,16,300,Поступление
197,9/1/2023,M12,17,300,Поступление
198,9/1/2023,M12,18,300,Поступление
199,9/1/2023,M12,19,300,Поступление
200,9/1/2023,M12,20,300,Поступление
201,9/1/2023,M12,21,300,Поступление
202,9/1/2023,M12,22,300,Поступление
203,9/1/2023,M12,23,300,Поступление
204,9/1/2023,M12,24,300,Поступление
205,9/1/2023,M12,25,300,Поступление
206,9/1/2023,M12,26,300,Поступление
207,9/1/2023,M12,27,300,Поступление
208,9/1/2023,M12,28,300,Поступление
209,9/1/2023,M12,29,300,Поступление
210,9/1/2023,M12,30,300,Поступление
211,9/1/2023,M12,31,300,Поступление
212,9/1/2023,M12,32,300,Поступление
213,9/1/2023,M12,33,300,Поступление
214,9/1/2023,M12,34,300,Поступление
215,9/1/2023,M12,35,300,Поступление
216,9/1/2023,M12,36,300,Поступление
217,9/1/2023,M12,37,400,Поступление
218,9/1/2023,M12,38,400,Поступление
